name,ingredients,prep_time,cook_time,flavor_profile
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",20,30,spicy
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",-1,-1,spicy
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",10,20,spicy
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",20,30,spicy
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",10,60,spicy
Kootu,"Chana dal, urad dal, potato, beans, peas",10,15,spicy
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",10,20,spicy
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",10,20,spicy
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",10,20,spicy
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",10,90,spicy
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",5,30,spicy
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",360,90,spicy
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",10,25,-1
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",10,20,-1
Papadum,"Lentils, black pepper, vegetable oil",5,5,spicy
Paravannam,"Raw rice,  jaggery, milk",-1,-1,spicy
Payasam,"Rice, cashew nuts, milk, raisins, sugar",15,30,sweet
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",10,20,-1
Pesarattu,"Green moong beans, rice flour",120,20,spicy
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",-1,-1,spicy
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",10,20,-1
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",10,35,spicy
Puttu,"Brown rice flour, sugar, grated coconut",495,40,-1
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",20,45,spicy
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",120,60,-1
Sevai,"Sevai, parboiled rice, steamer",120,30,-1
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",10,20,-1
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",15,20,-1
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",10,20,spicy
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",15,20,spicy
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",10,35,spicy
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",10,20,spicy
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",10,45,spicy
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",10,25,spicy
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",-1,-1,spicy
Saath,"Urad dal, potatoes, wheat flour, sooji",20,40,spicy
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",10,10,spicy
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",20,30,sweet
Bhakri,"Jowar flour, sesame seeds",20,25,-1
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",-1,-1,spicy
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",10,40,spicy
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",20,30,spicy
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",5,15,spicy
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",20,30,-1
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",20,30,spicy
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",30,10,spicy
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",30,30,-1
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",5,20,-1
Dhokla,"Rava, coconut, gram flour, mustard, sesame",10,20,spicy
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",15,30,sweet
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",10,20,spicy
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",10,20,sweet
Ghooghra,"Dry fruits, semolina, all purpose flour",-1,-1,spicy
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",20,30,spicy
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",-1,-1,sweet
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",10,30,spicy
Kansar,"Wheat flour, cashews, rapeseed oil",10,40,-1
Keri no ras,"Mango, sugar",10,10,sour
Khakhra,"Whole wheat flour, low fat, bengal gram flour",20,40,spicy
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",20,45,spicy
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",10,25,spicy
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",10,40,spicy
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",10,10,spicy
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",15,30,bitter
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",5,45,sweet
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",15,30,bitter
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",10,40,spicy
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",20,40,spicy
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",10,30,spicy
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",70,30,spicy
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",20,30,spicy
Sev tameta,"Sev, ginger, tomato, sugar",20,30,spicy
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",10,35,spicy
Sukhdi,"Whole wheat flour, gur, clarified butter",10,20,sweet
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",60,10,spicy
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",25,30,spicy
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",25,60,spicy
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",20,30,spicy
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",10,40,spicy
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",30,6,spicy
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",-1,-1,spicy
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",5,10,spicy
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",15,30,spicy
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",-1,-1,-1
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",10,20,spicy
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",35,40,spicy
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",12,40,sweet
Cheera Doi,"Rice, mango, curd",-1,-1,sweet
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",10,30,sweet
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",10,20,-1
Kumol Sawul,"Rice, eggs, carrot, beetroot",-1,-1,spicy
Luchi,"Maida, vegetable oil",20,30,-1
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",5,20,spicy
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",15,25,spicy
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",-1,-1,-1
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",10,20,-1
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",-1,-1,-1
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",-1,-1,spicy
Brown Rice,"Brown rice, soy sauce, olive oil",15,25,-1
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",10,40,spicy
Goja,"Baking soda, clarified butter, oil, all purpose flour",20,60,sweet
Hando Guri,"Jaggery, raisins",-1,-1,sweet
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",20,40,spicy
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",15,30,-1
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",-1,-1,spicy
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",-1,-1,spicy
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",-1,-1,spicy
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",-1,-1,spicy
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",-1,-1,spicy
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",-1,-1,spicy
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",10,30,sweet
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",-1,-1,-1
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",10,20,-1
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",-1,-1,sweet
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",15,50,spicy
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",-1,-1,-1
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",10,20,spicy
Til Pitha,"Glutinous rice, black sesame seeds, gur",5,30,sweet
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",20,60,sweet
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",-1,-1,sweet
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",20,45,sweet
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",-1,-1,sweet
